token_slot,token_position,token_id,channel_slot,output_channel,setup_cycle,first_valid_cycle,final_cycle
4,132,13740,4,1092,46852,46853,47540
4,132,13740,5,1365,47541,47542,48229
4,132,13740,6,1638,48230,48231,48918
4,132,13740,7,1911,48919,48920,49607
4,132,13740,8,2184,49608,49609,50296
4,132,13740,9,2457,50297,50298,50985
4,132,13740,10,2730,50986,50987,51674
4,132,13740,11,3003,51675,51676,52363
4,132,13740,12,3276,52364,52365,53052
4,132,13740,13,3549,53053,53054,53741
4,132,13740,14,3822,53742,53743,54430
4,132,13740,15,4095,54431,54432,55119
5,133,376,0,0,55120,55121,55808
5,133,376,1,273,55809,55810,56497
5,133,376,2,546,56498,56499,57186
5,133,376,3,819,57187,57188,57875
5,133,376,4,1092,57876,57877,58564
5,133,376,5,1365,58565,58566,59253
5,133,376,6,1638,59254,59255,59942
5,133,376,7,1911,59943,59944,60631
5,133,376,8,2184,60632,60633,61320
5,133,376,9,2457,61321,61322,62009
5,133,376,10,2730,62010,62011,62698
5,133,376,11,3003,62699,62700,63387
5,133,376,12,3276,63388,63389,64076
5,133,376,13,3549,64077,64078,64765
5,133,376,14,3822,64766,64767,65454
5,133,376,15,4095,65455,65456,66143
6,134,310,0,0,66144,66145,66832
6,134,310,1,273,66833,66834,67521
6,134,310,2,546,67522,67523,68210
6,134,310,3,819,68211,68212,68899
6,134,310,4,1092,68900,68901,69588
6,134,310,5,1365,69589,69590,70277
6,134,310,6,1638,70278,70279,70966
6,134,310,7,1911,70967,70968,71655
6,134,310,8,2184,71656,71657,72344
6,134,310,9,2457,72345,72346,73033
6,134,310,10,2730,73034,73035,73722
6,134,310,11,3003,73723,73724,74411
6,134,310,12,3276,74412,74413,75100
6,134,310,13,3549,75101,75102,75789
6,134,310,14,3822,75790,75791,76478
6,134,310,15,4095,76479,76480,77167
7,135,278,0,0,77168,77169,77856
7,135,278,1,273,77857,77858,78545
7,135,278,2,546,78546,78547,79234
7,135,278,3,819,79235,79236,79923
7,135,278,4,1092,79924,79925,80612
7,135,278,5,1365,80613,80614,81301
7,135,278,6,1638,81302,81303,81990
7,135,278,7,1911,81991,81992,82679
7,135,278,8,2184,82680,82681,83368
7,135,278,9,2457,83369,83370,84057
7,135,278,10,2730,84058,84059,84746
7,135,278,11,3003,84747,84748,85435
7,135,278,12,3276,85436,85437,86124
7,135,278,13,3549,86125,86126,86813
7,135,278,14,3822,86814,86815,87502
7,135,278,15,4095,87503,87504,88191
8,136,11456,0,0,88192,88193,88880
8,136,11456,1,273,88881,88882,89569
8,136,11456,2,546,89570,89571,90258
8,136,11456,3,819,90259,90260,90947
8,136,11456,4,1092,90948,90949,91636
8,136,11456,5,1365,91637,91638,92325
8,136,11456,6,1638,92326,92327,93014
8,136,11456,7,1911,93015,93016,93703
8,136,11456,8,2184,93704,93705,94392
8,136,11456,9,2457,94393,94394,95081
8,136,11456,10,2730,95082,95083,95770
8,136,11456,11,3003,95771,95772,96459
8,136,11456,12,3276,96460,96461,97148
8,136,11456,13,3549,97149,97150,97837
8,136,11456,14,3822,97838,97839,98526
8,136,11456,15,4095,98527,98528,99215
9,137,3652,0,0,99216,99217,99904
9,137,3652,1,273,99905,99906,100593
9,137,3652,2,546,100594,100595,101282
9,137,3652,3,819,101283,101284,101971
9,137,3652,4,1092,101972,101973,102660
9,137,3652,5,1365,102661,102662,103349
9,137,3652,6,1638,103350,103351,104038
9,137,3652,7,1911,104039,104040,104727
9,137,3652,8,2184,104728,104729,105416
9,137,3652,9,2457,105417,105418,106105
9,137,3652,10,2730,106106,106107,106794
9,137,3652,11,3003,106795,106796,107483
9,137,3652,12,3276,107484,107485,108172
9,137,3652,13,3549,108173,108174,108861
9,137,3652,14,3822,108862,108863,109550
9,137,3652,15,4095,109551,109552,110239
10,138,450,0,0,110240,110241,110928
10,138,450,1,273,110929,110930,111617
10,138,450,2,546,111618,111619,112306
10,138,450,3,819,112307,112308,112995
10,138,450,4,1092,112996,112997,113684
10,138,450,5,1365,113685,113686,114373
10,138,450,6,1638,114374,114375,115062
10,138,450,7,1911,115063,115064,115751
10,138,450,8,2184,115752,115753,116440
10,138,450,9,2457,116441,116442,117129
10,138,450,10,2730,117130,117131,117818
10,138,450,11,3003,117819,117820,118507
10,138,450,12,3276,118508,118509,119196
10,138,450,13,3549,119197,119198,119885
10,138,450,14,3822,119886,119887,120574
10,138,450,15,4095,120575,120576,121263
11,139,6242,0,0,121264,121265,121952
11,139,6242,1,273,121953,121954,122641
11,139,6242,2,546,122642,122643,123330
11,139,6242,3,819,123331,123332,124019
11,139,6242,4,1092,124020,124021,124708
11,139,6242,5,1365,124709,124710,125397
11,139,6242,6,1638,125398,125399,126086
11,139,6242,7,1911,126087,126088,126775
11,139,6242,8,2184,126776,126777,127464
11,139,6242,9,2457,127465,127466,128153
11,139,6242,10,2730,128154,128155,128842
11,139,6242,11,3003,128843,128844,129531
11,139,6242,12,3276,129532,129533,130220
11,139,6242,13,3549,130221,130222,130909
11,139,6242,14,3822,130910,130911,131598
11,139,6242,15,4095,131599,131600,132287
12,140,383,0,0,132288,132289,132976
12,140,383,1,273,132977,132978,133665
12,140,383,2,546,133666,133667,134354
12,140,383,3,819,134355,134356,135043
12,140,383,4,1092,135044,135045,135732
12,140,383,5,1365,135733,135734,136421
12,140,383,6,1638,136422,136423,137110
12,140,383,7,1911,137111,137112,137799
12,140,383,8,2184,137800,137801,138488
12,140,383,9,2457,138489,138490,139177
12,140,383,10,2730,139178,139179,139866
12,140,383,11,3003,139867,139868,140555
12,140,383,12,3276,140556,140557,141244
12,140,383,13,3549,141245,141246,141933
12,140,383,14,3822,141934,141935,142622
12,140,383,15,4095,142623,142624,143311
13,141,3568,0,0,143312,143313,144000
13,141,3568,1,273,144001,144002,144689
13,141,3568,2,546,144690,144691,145378
13,141,3568,3,819,145379,145380,146067
13,141,3568,4,1092,146068,146069,146756
13,141,3568,5,1365,146757,146758,147445
13,141,3568,6,1638,147446,147447,148134
13,141,3568,7,1911,148135,148136,148823
13,141,3568,8,2184,148824,148825,149512
13,141,3568,9,2457,149513,149514,150201
13,141,3568,10,2730,150202,150203,150890
13,141,3568,11,3003,150891,150892,151579
13,141,3568,12,3276,151580,151581,152268
13,141,3568,13,3549,152269,152270,152957
13,141,3568,14,3822,152958,152959,153646
13,141,3568,15,4095,153647,153648,154335
14,142,2056,0,0,154336,154337,155024
14,142,2056,1,273,155025,155026,155713
14,142,2056,2,546,155714,155715,156402
14,142,2056,3,819,156403,156404,157091
14,142,2056,4,1092,157092,157093,157780
14,142,2056,5,1365,157781,157782,158469
14,142,2056,6,1638,158470,158471,159158
14,142,2056,7,1911,159159,159160,159847
14,142,2056,8,2184,159848,159849,160536
14,142,2056,9,2457,160537,160538,161225
14,142,2056,10,2730,161226,161227,161914
14,142,2056,11,3003,161915,161916,162603
14,142,2056,12,3276,162604,162605,163292
14,142,2056,13,3549,163293,163294,163981
14,142,2056,14,3822,163982,163983,164670
14,142,2056,15,4095,164671,164672,165359
15,143,540,0,0,165360,165361,166048
15,143,540,1,273,166049,166050,166737
15,143,540,2,546,166738,166739,167426
15,143,540,3,819,167427,167428,168115
15,143,540,4,1092,168116,168117,168804
15,143,540,5,1365,168805,168806,169493
15,143,540,6,1638,169494,169495,170182
15,143,540,7,1911,170183,170184,170871
15,143,540,8,2184,170872,170873,171560
15,143,540,9,2457,171561,171562,172249
15,143,540,10,2730,172250,172251,172938
15,143,540,11,3003,172939,172940,173627
15,143,540,12,3276,173628,173629,174316
15,143,540,13,3549,174317,174318,175005
15,143,540,14,3822,175006,175007,175694
15,143,540,15,4095,175695,175696,176383
