token_slot,token_position,token_id,channel_slot,output_channel,setup_record,first_valid_record,final_record,rtl_hex,rtl_result,dew_software_reference,dew_absolute_error,dew_relative_error,within_tolerance,ideal_quantized_reference,ideal_relative_error,fp_term_count,skip_count,replace_count,overflow_count
2,130,525,5,1365,25493,25494,26181,be0a0000,-0.134765625,-0.134765625,0.0,0.0,True,-0.137664794921875,0.021059632010640657,63,0,0,0
2,130,525,6,1638,26182,26183,26870,bc800000,-0.015625,-0.015625,0.0,0.0,True,-0.01068115234375,0.46285714285714286,67,0,0,0
2,130,525,7,1911,26871,26872,27559,bec18000,-0.3779296875,-0.3779296875,0.0,0.0,True,-0.3814697265625,0.00928,65,0,0,0
2,130,525,8,2184,27560,27561,28248,3e4fc000,0.202880859375,0.202880859375,0.0,0.0,True,0.21575927734375,0.05968882602545969,66,0,0,0
2,130,525,9,2457,28249,28250,28937,be604000,-0.218994140625,-0.218994140625,0.0,0.0,True,-0.223785400390625,0.021410064093822446,59,0,0,0
2,130,525,10,2730,28938,28939,29626,bd8e8000,-0.069580078125,-0.069580078125,0.0,0.0,True,-0.082183837890625,0.15336056442629037,61,0,0,0
2,130,525,11,3003,29627,29628,30315,be538000,-0.20654296875,-0.20654296875,0.0,0.0,True,-0.217742919921875,0.051436580238262086,61,0,0,0
2,130,525,12,3276,30316,30317,31004,bdba0000,-0.0908203125,-0.0908203125,0.0,0.0,True,-0.0870361328125,0.043478260869565216,65,0,0,0
2,130,525,13,3549,31005,31006,31693,3e22c000,0.158935546875,0.158935546875,0.0,0.0,True,0.16302490234375,0.025084238113066266,67,0,0,0
2,130,525,14,3822,31694,31695,32382,3dd70000,0.10498046875,0.10498046875,0.0,0.0,True,0.1055908203125,0.005780346820809248,63,0,0,0
2,130,525,15,4095,32383,32384,33071,3e250000,0.1611328125,0.1611328125,0.0,0.0,True,0.16229248046875,0.007145543437382475,63,0,0,0
3,131,29879,0,0,33072,33073,33760,3d858000,0.065185546875,0.065185546875,0.0,0.0,True,0.06573486328125,0.008356545961002786,80,0,0,0
3,131,29879,1,273,33761,33762,34449,bd888000,-0.066650390625,-0.066650390625,0.0,0.0,True,-0.07354736328125,0.0937759336099585,80,0,0,0
3,131,29879,2,546,34450,34451,35138,3da50000,0.08056640625,0.08056640625,0.0,0.0,True,0.070404052734375,0.14434330299089726,82,0,0,0
3,131,29879,3,819,35139,35140,35827,bcaa0000,-0.020751953125,-0.020751953125,0.0,0.0,True,-0.0146484375,0.4166666666666667,82,0,0,0
3,131,29879,4,1092,35828,35829,36516,bbd80000,-0.006591796875,-0.006591796875,0.0,0.0,True,-0.0087890625,0.25,83,0,0,0
3,131,29879,5,1365,36517,36518,37205,bd3c0000,-0.0458984375,-0.0458984375,0.0,0.0,True,-0.04791259765625,0.04203821656050955,86,0,0,0
3,131,29879,6,1638,37206,37207,37894,bdd48000,-0.103759765625,-0.103759765625,0.0,0.0,True,-0.094329833984375,0.09996764801035264,80,0,0,0
3,131,29879,7,1911,37895,37896,38583,3da48000,0.080322265625,0.080322265625,0.0,0.0,True,0.0797119140625,0.007656967840735069,85,0,0,0
3,131,29879,8,2184,38584,38585,39272,3dee0000,0.1162109375,0.1162109375,0.0,0.0,True,0.131011962890625,0.11297460982995575,79,0,0,0
3,131,29879,9,2457,39273,39274,39961,be718000,-0.23583984375,-0.23583984375,0.0,0.0,True,-0.2379150390625,0.008722421754746024,88,0,0,0
3,131,29879,10,2730,39962,39963,40650,be04c000,-0.129638671875,-0.129638671875,0.0,0.0,True,-0.125823974609375,0.03031772980839195,79,0,0,0
3,131,29879,11,3003,40651,40652,41339,bd640000,-0.0556640625,-0.0556640625,0.0,0.0,True,-0.065277099609375,0.14726507713884993,86,0,0,0
3,131,29879,12,3276,41340,41341,42028,bd9f0000,-0.07763671875,-0.07763671875,0.0,0.0,True,-0.07733154296875,0.003946329913180742,76,0,0,0
3,131,29879,13,3549,42029,42030,42717,bd1d0000,-0.038330078125,-0.038330078125,0.0,0.0,True,-0.037841796875,0.012903225806451613,84,0,0,0
3,131,29879,14,3822,42718,42719,43406,be70c000,-0.235107421875,-0.235107421875,0.0,0.0,True,-0.23797607421875,0.01205437291613234,79,0,0,0
3,131,29879,15,4095,43407,43408,44095,be370000,-0.1787109375,-0.1787109375,0.0,0.0,True,-0.169189453125,0.05627705627705628,80,0,0,0
4,132,13740,0,0,44096,44097,44784,3d310000,0.043212890625,0.043212890625,0.0,0.0,True,0.046844482421875,0.07752442996742671,59,0,0,0
4,132,13740,1,273,44785,44786,45473,bcee0000,-0.029052734375,-0.029052734375,0.0,0.0,True,-0.032318115234375,0.10103871576959396,71,0,0,0
4,132,13740,2,546,45474,45475,46162,3c7c0000,0.015380859375,0.015380859375,0.0,0.0,True,0.01080322265625,0.423728813559322,70,0,0,0
4,132,13740,3,819,46163,46164,46851,bdab0000,-0.08349609375,-0.08349609375,0.0,0.0,True,-0.0826416015625,0.0103397341211226,73,0,0,0
4,132,13740,4,1092,46852,46853,47540,be89c000,-0.26904296875,-0.26904296875,0.0,0.0,True,-0.27252197265625,0.01276595744680851,70,0,0,0
4,132,13740,5,1365,47541,47542,48229,3d480000,0.048828125,0.048828125,0.0,0.0,True,0.04876708984375,0.0012515644555694619,76,0,0,0
4,132,13740,6,1638,48230,48231,48918,bce00000,-0.02734375,-0.02734375,0.0,0.0,True,-0.029632568359375,0.07723995880535531,69,0,0,0
4,132,13740,7,1911,48919,48920,49607,beb14000,-0.34619140625,-0.34619140625,0.0,0.0,True,-0.374176025390625,0.07478998450371095,71,0,0,0
4,132,13740,8,2184,49608,49609,50296,3df50000,0.11962890625,0.11962890625,0.0,0.0,True,0.125152587890625,0.04413557668861253,66,0,0,0
4,132,13740,9,2457,50297,50298,50985,3a400000,0.000732421875,0.000732421875,0.0,0.0,True,-0.00738525390625,1.0991735537190082,73,0,0,0
4,132,13740,10,2730,50986,50987,51674,bc9a0000,-0.018798828125,-0.018798828125,0.0,0.0,True,-0.030731201171875,0.38828202581926513,72,0,0,0
4,132,13740,11,3003,51675,51676,52363,3c540000,0.012939453125,0.012939453125,0.0,0.0,True,0.010162353515625,0.2732732732732733,74,0,0,0
4,132,13740,12,3276,52364,52365,53052,3d9d0000,0.07666015625,0.07666015625,0.0,0.0,True,0.076171875,0.00641025641025641,71,0,0,0
4,132,13740,13,3549,53053,53054,53741,bdab0000,-0.08349609375,-0.08349609375,0.0,0.0,True,-0.0892333984375,0.06429548563611491,74,0,0,0
4,132,13740,14,3822,53742,53743,54430,3d570000,0.052490234375,0.052490234375,0.0,0.0,True,0.033355712890625,0.5736505032021958,71,0,0,0
4,132,13740,15,4095,54431,54432,55119,3dff0000,0.12451171875,0.12451171875,0.0,0.0,True,0.136199951171875,0.08581671521398163,75,0,0,0
5,133,376,0,0,55120,55121,55808,be418000,-0.18896484375,-0.18896484375,0.0,0.0,True,-0.191558837890625,0.01354150071690298,135,0,1,0
5,133,376,1,273,55809,55810,56497,3d6c0000,0.0576171875,0.0576171875,0.0,0.0,True,0.05206298828125,0.10668229777256741,138,0,0,0
5,133,376,2,546,56498,56499,57186,bd8c8000,-0.068603515625,-0.068603515625,0.0,0.0,True,-0.05145263671875,0.3333333333333333,141,0,0,0
5,133,376,3,819,57187,57188,57875,3e456000,0.1927490234375,0.1927490234375,0.0,0.0,True,0.201141357421875,0.0417235624336216,144,0,0,0
5,133,376,4,1092,57876,57877,58564,3c040000,0.008056640625,0.008056640625,0.0,0.0,True,0.01513671875,0.46774193548387094,136,0,0,0
5,133,376,5,1365,58565,58566,59253,be2b0000,-0.1669921875,-0.1669921875,0.0,0.0,True,-0.1724853515625,0.03184713375796178,142,0,0,0
5,133,376,6,1638,59254,59255,59942,be150000,-0.1455078125,-0.1455078125,0.0,0.0,True,-0.138031005859375,0.05416758788414769,142,0,0,0
5,133,376,7,1911,59943,59944,60631,bef9e000,-0.488037109375,-0.488037109375,0.0,0.0,True,-0.509552001953125,0.04222315385997485,143,0,0,0
5,133,376,8,2184,60632,60633,61320,bcd40000,-0.02587890625,-0.02587890625,0.0,0.0,True,-0.033935546875,0.23741007194244604,145,0,0,0
5,133,376,9,2457,61321,61322,62009,be130000,-0.1435546875,-0.1435546875,0.0,0.0,True,-0.14678955078125,0.02203742203742204,139,0,0,0
5,133,376,10,2730,62010,62011,62698,3c3c0000,0.011474609375,0.011474609375,0.0,0.0,True,0.0018310546875,5.266666666666667,129,0,0,0
5,133,376,11,3003,62699,62700,63387,bd9e8000,-0.077392578125,-0.077392578125,0.0,0.0,True,-0.07330322265625,0.05578684429641965,144,0,0,0
5,133,376,12,3276,63388,63389,64076,be18c000,-0.149169921875,-0.149169921875,0.0,0.0,True,-0.14239501953125,0.04757822546078011,138,0,0,0
5,133,376,13,3549,64077,64078,64765,be378000,-0.17919921875,-0.17919921875,0.0,0.0,True,-0.208648681640625,0.14114377651016527,142,0,1,0
5,133,376,14,3822,64766,64767,65454,3e94c000,0.29052734375,0.29052734375,0.0,0.0,True,0.2921142578125,0.005432511491851233,139,0,0,0
5,133,376,15,4095,65455,65456,66143,3e514000,0.204345703125,0.204345703125,0.0,0.0,True,0.207427978515625,0.014859496836839783,141,0,1,0
6,134,310,0,0,66144,66145,66832,bd0a0000,-0.03369140625,-0.03369140625,0.0,0.0,True,-0.0347900390625,0.031578947368421054,87,0,0,0
6,134,310,1,273,66833,66834,67521,3d840000,0.064453125,0.064453125,0.0,0.0,True,0.07354736328125,0.12365145228215768,89,0,0,0
6,134,310,2,546,67522,67523,68210,be996000,-0.299560546875,-0.299560546875,0.0,0.0,True,-0.31671142578125,0.05415301599537483,96,0,0,0
6,134,310,3,819,68211,68212,68899,3b600000,0.00341796875,0.00341796875,0.0,0.0,True,0.008819580078125,0.6124567474048442,99,0,0,0
6,134,310,4,1092,68900,68901,69588,be20c000,-0.156982421875,-0.156982421875,0.0,0.0,True,-0.15142822265625,0.03667875856509472,101,0,0,0
6,134,310,5,1365,69589,69590,70277,bde40000,-0.111328125,-0.111328125,0.0,0.0,True,-0.1072998046875,0.03754266211604096,95,0,0,0
6,134,310,6,1638,70278,70279,70966,ba000000,-0.00048828125,-0.00048828125,0.0,0.0,True,-0.00054931640625,0.1111111111111111,92,0,0,0
6,134,310,7,1911,70967,70968,71655,be068000,-0.13134765625,-0.13134765625,0.0,0.0,True,-0.13006591796875,0.009854528390427029,96,0,0,0
6,134,310,8,2184,71656,71657,72344,bb000000,-0.001953125,-0.001953125,0.0,0.0,True,-0.00982666015625,0.8012422360248447,90,0,0,0
6,134,310,9,2457,72345,72346,73033,be744000,-0.238525390625,-0.238525390625,0.0,0.0,True,-0.24371337890625,0.02128725269221137,100,0,0,0
6,134,310,10,2730,73034,73035,73722,bcd00000,-0.025390625,-0.025390625,0.0,0.0,True,-0.0303955078125,0.1646586345381526,97,0,0,0
6,134,310,11,3003,73723,73724,74411,3d490000,0.049072265625,0.049072265625,0.0,0.0,True,0.054931640625,0.10666666666666667,93,0,0,0
6,134,310,12,3276,74412,74413,75100,be65c000,-0.224365234375,-0.224365234375,0.0,0.0,True,-0.21539306640625,0.04165485973363559,94,0,0,0
6,134,310,13,3549,75101,75102,75789,be5dc000,-0.216552734375,-0.216552734375,0.0,0.0,True,-0.22320556640625,0.02980585179108559,88,0,0,0
6,134,310,14,3822,75790,75791,76478,3e82a000,0.255126953125,0.255126953125,0.0,0.0,True,0.2625732421875,0.028358902835890282,91,0,0,0
6,134,310,15,4095,76479,76480,77167,be474000,-0.194580078125,-0.194580078125,0.0,0.0,True,-0.20428466796875,0.04750522856289214,95,0,0,0
7,135,278,0,0,77168,77169,77856,bdd88000,-0.105712890625,-0.105712890625,0.0,0.0,True,-0.10455322265625,0.011091652072387624,109,0,0,0
7,135,278,1,273,77857,77858,78545,beaf6000,-0.342529296875,-0.342529296875,0.0,0.0,True,-0.335723876953125,0.02027088446504863,105,0,0,0
7,135,278,2,546,78546,78547,79234,beb70000,-0.357421875,-0.357421875,0.0,0.0,True,-0.356353759765625,0.002997345208529588,111,0,0,0
7,135,278,3,819,79235,79236,79923,bd6f0000,-0.058349609375,-0.058349609375,0.0,0.0,True,-0.060302734375,0.032388663967611336,110,0,0,0
7,135,278,4,1092,79924,79925,80612,bba00000,-0.0048828125,-0.0048828125,0.0,0.0,True,0.0107421875,1.4545454545454546,115,0,0,0
7,135,278,5,1365,80613,80614,81301,bdbc0000,-0.091796875,-0.091796875,0.0,0.0,True,-0.090789794921875,0.011092436974789916,110,0,0,0
7,135,278,6,1638,81302,81303,81990,3dda8000,0.106689453125,0.106689453125,0.0,0.0,True,0.1099853515625,0.029966703662597113,115,0,0,0
7,135,278,7,1911,81991,81992,82679,bc600000,-0.013671875,-0.013671875,0.0,0.0,True,-0.0128173828125,0.06666666666666667,109,0,0,0
7,135,278,8,2184,82680,82681,83368,becd6000,-0.401123046875,-0.401123046875,0.0,0.0,True,-0.401885986328125,0.0018983977522970613,108,0,0,0
7,135,278,9,2457,83369,83370,84057,bb100000,-0.002197265625,-0.002197265625,0.0,0.0,True,-0.00347900390625,0.3684210526315789,119,0,0,0
7,135,278,10,2730,84058,84059,84746,3d9d8000,0.076904296875,0.076904296875,0.0,0.0,True,0.078826904296875,0.024390243902439025,116,0,0,0
7,135,278,11,3003,84747,84748,85435,bc9c0000,-0.01904296875,-0.01904296875,0.0,0.0,True,-0.02032470703125,0.06306306306306306,114,0,0,0
7,135,278,12,3276,85436,85437,86124,bd808000,-0.062744140625,-0.062744140625,0.0,0.0,True,-0.0609130859375,0.03006012024048096,113,0,0,0
7,135,278,13,3549,86125,86126,86813,bdff8000,-0.124755859375,-0.124755859375,0.0,0.0,True,-0.1273193359375,0.020134228187919462,112,0,0,0
7,135,278,14,3822,86814,86815,87502,bda18000,-0.078857421875,-0.078857421875,0.0,0.0,True,-0.08050537109375,0.02047005307050796,112,0,0,0
7,135,278,15,4095,87503,87504,88191,beaf5000,-0.3424072265625,-0.3424072265625,0.0,0.0,True,-0.3525390625,0.02873961218836565,111,0,0,0
8,136,11456,0,0,88192,88193,88880,bc880000,-0.0166015625,-0.0166015625,0.0,0.0,True,-0.00323486328125,4.132075471698113,118,0,0,0
8,136,11456,1,273,88881,88882,89569,be75c000,-0.239990234375,-0.239990234375,0.0,0.0,True,-0.238616943359375,0.005755211663895639,121,0,0,0
8,136,11456,2,546,89570,89571,90258,bedfa000,-0.436767578125,-0.436767578125,0.0,0.0,True,-0.43896484375,0.005005561735261402,124,0,0,0
8,136,11456,3,819,90259,90260,90947,3e018000,0.12646484375,0.12646484375,0.0,0.0,True,0.13214111328125,0.04295612009237875,120,0,0,0
8,136,11456,4,1092,90948,90949,91636,bea0e000,-0.314208984375,-0.314208984375,0.0,0.0,True,-0.317352294921875,0.009904798538320993,122,0,0,0
8,136,11456,5,1365,91637,91638,92325,bdaa0000,-0.0830078125,-0.0830078125,0.0,0.0,True,-0.086761474609375,0.043264157580021105,120,0,0,0
8,136,11456,6,1638,92326,92327,93014,3d260000,0.04052734375,0.04052734375,0.0,0.0,True,0.04034423828125,0.0045385779122541605,128,0,0,0
8,136,11456,7,1911,93015,93016,93703,be6d0000,-0.2314453125,-0.2314453125,0.0,0.0,True,-0.235870361328125,0.018760512356061586,125,0,0,0
8,136,11456,8,2184,93704,93705,94392,be388000,-0.18017578125,-0.18017578125,0.0,0.0,True,-0.187744140625,0.04031209362808843,117,0,0,0
8,136,11456,9,2457,94393,94394,95081,bd350000,-0.044189453125,-0.044189453125,0.0,0.0,True,-0.03948974609375,0.11901081916537867,120,0,0,0
8,136,11456,10,2730,95082,95083,95770,bcf00000,-0.029296875,-0.029296875,0.0,0.0,True,-0.033203125,0.11764705882352941,115,0,0,0
8,136,11456,11,3003,95771,95772,96459,3d0a0000,0.03369140625,0.03369140625,0.0,0.0,True,0.03338623046875,0.009140767824497258,114,0,0,0
8,136,11456,12,3276,96460,96461,97148,3b200000,0.00244140625,0.00244140625,0.0,0.0,True,0.007354736328125,0.6680497925311203,124,0,0,0
8,136,11456,13,3549,97149,97150,97837,bd440000,-0.0478515625,-0.0478515625,0.0,0.0,True,-0.04638671875,0.031578947368421054,120,0,0,0
8,136,11456,14,3822,97838,97839,98526,bd878000,-0.066162109375,-0.066162109375,0.0,0.0,True,-0.068389892578125,0.03257474341811691,114,0,0,0
8,136,11456,15,4095,98527,98528,99215,be9ae000,-0.302490234375,-0.302490234375,0.0,0.0,True,-0.302642822265625,0.0005041847332862761,121,0,0,0
9,137,3652,0,0,99216,99217,99904,3e224000,0.158447265625,0.158447265625,0.0,0.0,True,0.168365478515625,0.058908827261192676,60,0,0,0
9,137,3652,1,273,99905,99906,100593,be2c4000,-0.168212890625,-0.168212890625,0.0,0.0,True,-0.164398193359375,0.023204009652868014,63,0,0,0
9,137,3652,2,546,100594,100595,101282,be1bc000,-0.152099609375,-0.152099609375,0.0,0.0,True,-0.161895751953125,0.06050895381715363,67,0,0,0
9,137,3652,3,819,101283,101284,101971,3dfd8000,0.123779296875,0.123779296875,0.0,0.0,True,0.123779296875,0.0,72,0,0,0
9,137,3652,4,1092,101972,101973,102660,be53c000,-0.206787109375,-0.206787109375,0.0,0.0,True,-0.214599609375,0.03640500568828214,70,0,0,0
9,137,3652,5,1365,102661,102662,103349,bca80000,-0.0205078125,-0.0205078125,0.0,0.0,True,-0.0306396484375,0.33067729083665337,68,0,0,0
9,137,3652,6,1638,103350,103351,104038,3dae8000,0.085205078125,0.085205078125,0.0,0.0,True,0.089569091796875,0.04872231686541738,69,0,0,0
9,137,3652,7,1911,104039,104040,104727,be936000,-0.287841796875,-0.287841796875,0.0,0.0,True,-0.301971435546875,0.04679130874178878,69,0,0,0
9,137,3652,8,2184,104728,104729,105416,be52c000,-0.205810546875,-0.205810546875,0.0,0.0,True,-0.203460693359375,0.011549422528873556,65,0,0,0
9,137,3652,9,2457,105417,105418,106105,be8bc000,-0.27294921875,-0.27294921875,0.0,0.0,True,-0.28094482421875,0.028459700195524656,65,0,0,0
9,137,3652,10,2730,106106,106107,106794,3dab0000,0.08349609375,0.08349609375,0.0,0.0,True,0.0916748046875,0.08921438082556592,65,0,0,0
9,137,3652,11,3003,106795,106796,107483,3e778000,0.24169921875,0.24169921875,0.0,0.0,True,0.245361328125,0.014925373134328358,70,0,0,0
9,137,3652,12,3276,107484,107485,108172,3e070000,0.1318359375,0.1318359375,0.0,0.0,True,0.1400146484375,0.05841325196163906,61,0,0,0
9,137,3652,13,3549,108173,108174,108861,be5b0000,-0.2138671875,-0.2138671875,0.0,0.0,True,-0.220977783203125,0.032177875983980114,66,0,0,0
9,137,3652,14,3822,108862,108863,109550,3ba00000,0.0048828125,0.0048828125,0.0,0.0,True,0.00555419921875,0.12087912087912088,63,0,0,0
9,137,3652,15,4095,109551,109552,110239,3d3c0000,0.0458984375,0.0458984375,0.0,0.0,True,0.05206298828125,0.11840562719812427,65,0,0,0
10,138,450,0,0,110240,110241,110928,3db68000,0.089111328125,0.089111328125,0.0,0.0,True,0.09344482421875,0.046374918354016983,53,0,0,0
10,138,450,1,273,110929,110930,111617,be866000,-0.262451171875,-0.262451171875,0.0,0.0,True,-0.261566162109375,0.0033835025084587565,49,0,0,0
10,138,450,2,546,111618,111619,112306,3d8b0000,0.06787109375,0.06787109375,0.0,0.0,True,0.06854248046875,0.009795191451469279,52,0,0,0
10,138,450,3,819,112307,112308,112995,bc5c0000,-0.013427734375,-0.013427734375,0.0,0.0,True,-0.010498046875,0.27906976744186046,50,0,0,0
10,138,450,4,1092,112996,112997,113684,bdf68000,-0.120361328125,-0.120361328125,0.0,0.0,True,-0.11505126953125,0.046153846153846156,52,0,0,0
10,138,450,5,1365,113685,113686,114373,bd820000,-0.0634765625,-0.0634765625,0.0,0.0,True,-0.0675048828125,0.059674502712477394,53,0,0,0
10,138,450,6,1638,114374,114375,115062,bd100000,-0.03515625,-0.03515625,0.0,0.0,True,-0.04278564453125,0.1783166904422254,51,0,0,0
10,138,450,7,1911,115063,115064,115751,be48c000,-0.196044921875,-0.196044921875,0.0,0.0,True,-0.212371826171875,0.07687886190544618,54,0,0,0
10,138,450,8,2184,115752,115753,116440,3dd58000,0.104248046875,0.104248046875,0.0,0.0,True,0.1005859375,0.03640776699029126,50,0,0,0
10,138,450,9,2457,116441,116442,117129,bdcb0000,-0.09912109375,-0.09912109375,0.0,0.0,True,-0.09857177734375,0.005572755417956657,54,0,0,0
10,138,450,10,2730,117130,117131,117818,3c700000,0.0146484375,0.0146484375,0.0,0.0,True,0.014617919921875,0.0020876826722338203,49,0,0,0
10,138,450,11,3003,117819,117820,118507,3e828000,0.2548828125,0.2548828125,0.0,0.0,True,0.256561279296875,0.006542167241584394,51,0,0,0
10,138,450,12,3276,118508,118509,119196,bca60000,-0.020263671875,-0.020263671875,0.0,0.0,True,-0.024566650390625,0.17515527950310558,50,0,0,0
10,138,450,13,3549,119197,119198,119885,be19c000,-0.150146484375,-0.150146484375,0.0,0.0,True,-0.152587890625,0.016,52,0,0,0
10,138,450,14,3822,119886,119887,120574,3e1b0000,0.1513671875,0.1513671875,0.0,0.0,True,0.158905029296875,0.04743614365277511,48,0,0,0
10,138,450,15,4095,120575,120576,121263,bdba8000,-0.091064453125,-0.091064453125,0.0,0.0,True,-0.08746337890625,0.041172365666434056,49,0,0,0
11,139,6242,0,0,121264,121265,121952,bd0f0000,-0.034912109375,-0.034912109375,0.0,0.0,True,-0.038909912109375,0.1027450980392157,71,0,0,0
11,139,6242,1,273,121953,121954,122641,bd290000,-0.041259765625,-0.041259765625,0.0,0.0,True,-0.03387451171875,0.218018018018018,64,0,0,0
11,139,6242,2,546,122642,122643,123330,bd170000,-0.036865234375,-0.036865234375,0.0,0.0,True,-0.0399169921875,0.0764525993883792,69,0,0,0
