1 1 0 19f3 07 60d80529ed4d 0000 0f 0f 000000000000 f f
0 1 1 8521 07 83cb1929078e 8722 09 0b 6567996bb0c8 a 0
0 1 1 2051 09 40a203062002 4089 0a 0a 040081409605 f f
0 1 1 42b6 08 69005121b348 6c11 08 0b 3ae668a02705 e 0
0 1 1 8a4d 08 a2970a0c92d1 f474 0a 0a 48a090a59050 f f
0 1 1 9495 07 5324d9cba9db 600b 0a 0a 048280029209 f f
0 1 1 82b2 08 942089321010 e090 09 09 49040ae54501 f f
0 1 1 3705 07 9f47f4041d56 7334 0a 0a 84900a44ca80 f f
0 1 1 07df 07 793eef8c22cc 8c0a 09 09 29a581a4d210 f f
0 1 1 08f3 08 241281953209 00d0 0a 0a 21000964208d f f
0 1 1 94b4 08 54905a622111 e240 0a 0a 269622240242 f f
0 1 1 6c19 08 3686492234c9 205a 0a 0a 858258492290 f f
0 1 1 281f 07 68d24b397efb 0042 0a 0a 403018086008 f f
0 1 1 c3b3 08 6a021430a50a af0a 09 09 a5c65908121a f f
0 1 1 6486 08 712290250054 91f4 0a 0a 2016132530b8 f f
0 1 1 e156 08 89a2814430dc 8212 0a 0a 24b01208bc08 f f
0 1 1 1d5b 08 482269245295 1402 09 09 209b9ba01210 f f
0 1 1 4100 08 70208a2080d3 3080 09 09 95c240441609 f f
0 1 1 ba42 07 a8b653e93566 89b6 09 09 528c03af2690 f f
0 1 1 7b6b 07 aa14127d8514 4d60 09 09 18168b3213c1 f f
0 1 1 3e02 08 25a648c58849 0cb0 0a 0a 00888084a008 f f
0 1 1 972a 07 6ed25ded49a2 ea01 0a 0a 48e28a448082 f f
0 1 1 6326 08 d2344a619252 6821 0a 0a 15820a009203 f f
0 1 1 9b2f 07 31f5cf7dccaa 4858 09 09 6508035c9241 f f
0 1 1 38e9 08 60945d24928b 2c0d 09 09 09428247424a f f
0 1 1 40e7 08 8d322168b84a 3540 09 09 24cce784f940 f f
0 1 1 3aa2 08 2e149b250210 4504 0a 0a 3022810480c8 f f
0 1 1 3385 08 091a51641291 ac31 09 09 6884f8271482 f f
0 1 1 0e0d 08 054293449312 5274 09 0c a41ea616c545 6 0
0 1 1 12c2 08 30928a6d9009 e886 0a 0a 260220200350 f f
0 1 1 d170 07 6a6032f56419 07ec 08 08 1aa6fde49859 f f
0 1 1 4448 08 45a5420a1228 5001 0a 0a 0a50500010c2 f f
0 1 1 842f 08 34465200a8a2 2890 09 09 04cc98401101 f f
0 1 1 8b57 08 4602194e9512 a894 0a 0a 620402447308 f f
0 1 1 2635 07 f4c0b74cbacb 1224 0a 0a a51008210041 f f
0 1 1 00c2 08 058a59243620 48fd 09 09 142470653241 f f
0 1 1 0176 08 6e02a952a28b 1010 09 09 003662001219 f f
0 1 1 c03f 08 2812d024a3d9 0077 09 0b 2085a066d0bc 1 0
0 1 1 8508 08 252292252444 9787 09 09 2b1111249649 f f
0 1 1 0a4f 08 4582aa298249 1256 0a 0a 04a61010d0e0 f f
0 1 1 1296 08 043413712151 8040 0a 0a 2000880401c2 f f
0 1 1 4aad 07 cece6ca9e252 00d0 0a 0a 610008249057 f f
0 1 1 03c8 08 01a71a4c44d0 a2b7 0a 0a 208218a31089 f f
0 1 1 640b 07 29b4680ac85e 8a41 0a 0b fc1210081892 f 0
0 1 1 9c02 08 4c2240429250 80a6 09 0b e0064c669049 5 0
0 1 1 9392 08 4c12496cb752 0668 09 0c 70106a2e8a08 5 0
0 1 1 9303 07 8111dc4b9aa6 b7c0 09 09 2d606c891260 f f
0 1 1 a0a6 07 a9b54942f09a 0b6b 09 0b 28821a04aa3d 3 0
0 1 1 ac10 08 6186c9cc5262 8ce7 08 08 284a5a448249 f f
0 1 1 51d4 08 4896d9a8c46b d014 0a 0a 8db022004c40 f f
0 1 1 a510 08 2a8192115400 1500 0a 0a 1c104400a040 f f
0 1 1 e6c2 07 69815a8b813c 3218 09 09 0524cb0f1480 f f
0 1 1 d139 08 2a4082252223 c553 09 0c 290a491630a7 6 0
0 1 1 5a72 08 2916140c9039 9606 0a 0b 2c9250251b09 3 0
0 1 1 8803 08 9182a285a0d9 c36a 09 09 4da28b656c79 f f
0 1 1 2a00 08 908a91483043 4412 0a 0a 09028000f64b f f
0 1 1 48a4 07 25afde511486 26a3 09 09 ad837864980b f f
0 1 1 a78f 08 87346421b289 8c0c 09 09 200841200849 f f
0 1 1 1ee7 08 2f14e124c055 3658 0a 0a 021049051406 f f
0 1 1 105b 08 2592181092aa 9203 09 09 78e04de0c22a f f
0 1 1 1d44 08 0012427422a9 6f60 09 09 87b451ab9a49 f f
0 1 1 6ee3 08 8524d144b05a c04a 0a 0a 240211088960 f f
0 1 1 4d7d 08 8922c24552d1 6435 0a 0a d11040209089 f f
0 1 1 fa27 08 44924d225452 792c 09 09 0e1359829280 f f
0 1 1 0a73 08 04228848d219 110a 0a 0b 2371020c8221 d 0
0 1 1 c5b7 08 64024d2d268a 0650 0b 0b 008251054041 f f
0 1 1 391e 08 00924aa83851 4107 09 0b 0d3e824daab1 3 0
0 1 1 d050 08 4410d12a3046 4a94 09 0b 071a0e34a090 8 d
0 1 1 4819 08 04b372214299 54a4 09 09 283240e200d9 f f
0 1 1 8add 08 4c031486a649 036c 0a 0a 6580192ea250 f f
0 1 1 7030 09 4894084122a1 b804 09 0b 3c9459188241 e 0
0 1 1 a3b0 08 2e211d489241 260a 0a 0a 048048447610 f f
0 1 1 803b 08 413021252466 3884 09 09 011439250262 f f
0 1 1 4c46 07 6d74e8a8b07c 2008 0a 0a 3300cd240283 f f
0 1 1 4aab 08 10a2112644cb c200 09 09 90d2152486c1 f f
0 1 1 2800 09 210802008042 0e80 0b 0b 400460248408 f f
0 1 1 efa2 08 2586993d1092 53ce 09 09 09401c44df0c f f
0 1 1 2a20 08 4516d4998ae3 0e98 09 09 200cd12112c5 f f
0 1 1 62d0 08 76800c29a440 6502 0a 0a 24c1532000d8 f f
0 1 1 e162 08 451004149288 3446 0a 0a 00908018c048 f f
0 1 1 4c5b 07 11b9e7912ecf 5e62 09 0b 844c9814f050 b 0
0 1 1 13cd 08 3814db4d2291 cead 09 09 a724b02e1284 f f
0 1 1 3e2f 08 1532aa21324b 89bc 09 09 d4950925188e f f
0 1 1 1da9 08 09128440a603 1c31 09 09 6d1ac0509259 f f
0 1 1 da5c 08 2e3290b51689 63ba 08 08 9ab5d42d165e f f
0 1 1 41da 08 0c824974b6d1 3321 0a 0a 20b449848601 f f
0 1 1 051c 08 25148a6012e2 18a7 0a 0a 0092182191ca f f
0 1 1 4007 08 258252343254 6716 09 09 248261009269 f f
0 1 1 1646 08 081093045291 0203 0a 0a 24044820302d f f
0 1 1 9dc7 08 5516c148c0e4 3cd5 09 09 6c93e0312ab2 f f
0 1 1 2c98 07 71e51126aca3 274c 0a 0a 2100b1042242 f f
0 1 1 5841 08 2d1209a488ca d4f7 09 09 56404028e08f f f
0 1 1 c470 07 b508c038d4cb 8b2a 09 09 e40252608b08 f f
0 1 1 9914 08 be344100a0d2 4004 09 09 480618229640 f f
0 1 1 a000 07 4952852d0a68 6893 0a 0a 04820820400c f f
0 1 1 4c96 08 58026a601072 1237 09 09 02965023204a f f
0 1 1 779f 08 0524c9299f59 1069 09 09 4017120d8809 f f
0 1 1 6064 08 4d228b253715 93eb 09 0b ef906270c8a1 d 0
0 1 1 9090 07 7c2fe98a20e0 2825 09 0c 0088894f808f 0 0
0 1 1 1aa0 08 06164b489020 7c28 0a 0b 08ea412c8200 b 0
0 1 1 3145 07 2116e6787b9e 0d21 09 09 2026b402f0e9 f f
0 1 1 180e 08 0452014898a9 ef00 0a 0a 29030a800251 f f
0 1 1 831e 08 94064c481262 58be 09 09 0636404cd450 f f
0 1 1 081a 08 0054c92ea51a 816a 0a 0a 251b1b0ac2c8 f f
0 1 1 5674 08 6f10d8451089 0097 09 09 21264880d24d f f
0 1 1 95c2 08 6894814c0958 02ca 0a 0a 2501d86432c9 f f
0 1 1 2e52 08 009499044461 002e 0a 0a 008041469a48 f f
0 1 1 3e6b 08 51a4d0098a8c 13d4 0a 0b 3030112c3095 e 0
0 1 1 7531 08 a5229115c2cc 8e40 0a 0a 200489581240 f f
0 1 1 a410 08 46b0c4522690 0ef0 08 08 9402c86499b9 f f
0 1 1 850e 08 210282215591 821a 09 0b 80083a9ca818 9 0
0 1 1 d92e 08 2c9822908370 40ea 0a 0a 3016082a0c39 f f
0 1 1 6157 07 cb861a30108a 0299 0a 0b 2814aa2c5a59 3 0
0 1 1 f51f 07 6f276ea2db63 5002 0b 0b 041200008020 f f
0 1 1 3b26 08 111252219694 2b23 09 09 418213d10299 f f
0 1 1 023b 07 82c71f8c925c 7b60 09 09 533c4b15104c f f
0 1 1 380d 08 49226100284b 1de5 0a 0b 6c32c2489545 0 0
0 1 1 b2a3 08 3138134910a1 e226 0a 0a 258250a980a8 f f
0 1 1 c065 08 285248851243 c750 09 09 3420ac1d3140 f f
0 1 1 6292 07 109f0a66d490 9560 0a 0d 60568d258000 8 0
0 1 1 0f0c 08 0202510324d1 4200 0b 0b 060088240000 f f
0 1 1 388f 08 08b20d280699 3100 0a 0a 094043000649 f f
0 1 1 8280 08 440711608840 00f1 0a 0a 042400469a19 f f
0 1 1 0068 08 44046a894688 4200 0a 0b 045648e2a008 5 0
0 1 1 0514 07 8cc45517488d 0296 0a 0a 24328d40308a f f
0 1 1 33b8 07 4abe2625a20c 4022 0a 0a 0480c0239209 f f
0 1 1 a05e 07 74ba517b78ea 1041 0a 0a 04225924804f f f
0 1 1 3987 07 191a1399a054 c20c 0a 0a 249222200241 f f
0 1 1 0e45 08 358289671751 3221 0a 0a 009416a49402 f f
0 1 1 c4ed 08 88b35025130a a540 0a 0a 40d043442200 f f
0 1 1 14b5 08 2cc8dc4da081 5000 09 09 096a4f205818 f f
0 1 1 8242 07 8306648e84d0 a4ab 09 09 20b288248a16 f f
0 1 1 d8a5 08 883863488293 2a0c 0a 0a 089620470288 f f
0 1 1 e857 08 2524b268a089 0c02 0a 0a 088469040008 f f
0 1 1 16f5 07 6fb7124cd26b b982 09 09 c8b20ae00008 f f
0 1 1 8603 08 48205314004b 2022 0b 0b 050011448808 f f
0 1 1 eacb 08 46040a6d12a1 a227 09 09 2204f8e0a519 f f
0 1 1 a817 08 41421021c4c9 4703 09 09 33705f008611 f f
0 1 1 6601 08 e8a16900824a 4676 0a 0a 05905008c050 f f
0 1 1 944a 08 449ac2040711 8704 0a 0a 6011c9248048 f f
0 1 1 20a1 08 8cf75020a259 0f8d 0a 0a 04124c25b281 f f
0 1 1 24bc 07 4e8324b695e6 0077 09 09 74021806167c f f
0 1 1 b975 08 41948ac9c30a 2e01 0a 0a 64a25061108e f f
0 1 1 9634 08 40b49a349244 40ea 0a 0a 08000229848e f f
0 1 1 92dc 08 441a0d9d3252 7beb 09 0b 111291a8ad0b 3 0
0 1 1 9163 08 23360229c44c 4548 09 09 10c272119307 f f
0 1 1 e08a 08 37164181131b 0ad4 08 08 2488742879fa f f
0 1 1 4d70 08 0593110c98c8 b476 09 09 33bcd21d2088 f f
0 1 1 308f 08 223622341649 119a 09 09 0a32446e1693 f f
0 1 1 4b0c 08 6482d110d291 3707 09 09 09404c49925c f f
0 1 1 1280 08 01b49420a0e0 0824 0a 0a 241810009280 f f
0 1 1 e876 08 6dc28965da6a 0100 0a 0b 0410ec3920e9 9 0
0 1 1 4c06 08 5c926b901524 880c 0a 0a c40240000292 f f
0 1 1 0711 08 0896e44018f1 2650 09 09 c9b52144c618 f f
0 1 1 3f43 07 c1470a10e573 030e 0a 0a 01044c2c2d90 f f
0 1 1 65a8 08 29b49925246c 0641 0a 0a 244c90048291 f f
0 1 1 3084 08 9cb692618349 0e4f 09 09 04a449e51459 f f
0 1 1 a56a 08 51329c289460 49bc 09 09 0c0c2144c2d1 f f
0 1 1 3564 08 05204c449188 8027 08 08 212102628f09 f f
0 1 1 6bad 08 46521a25c442 0520 09 09 09104244c819 f f
0 1 1 45f8 08 65a0594a92d2 969c 0a 0a 241068443492 f f
0 1 1 cf22 07 ff825323a90a 09c6 09 09 4db2066c315a f f
0 1 1 599b 08 0832993017d4 71e1 09 0b 091a219c8001 6 0
0 1 1 9e71 07 431a5bd6240d 0a13 09 09 93840944944c f f
0 1 1 18ed 07 a895416dc26f 0a30 0a 0a 20140802a203 f f
0 1 1 d4df 08 3924e1361891 8110 0a 0a 601642301001 f f
0 1 1 4038 07 09405da366ba 72f5 09 09 0db234b39083 f f
0 1 1 0358 08 00a4576413a9 0254 0b 0b 300008089040 f f
0 1 1 6e15 08 0d02992d5241 4007 09 09 48339a2c94bd f f
0 1 1 f11a 07 ea17857c2372 10b8 09 09 cc6246489382 f f
0 1 1 ca51 08 85222608b609 0012 0a 0a 090040004014 f f
0 1 1 3b01 08 012215700253 1344 0a 0a 0b200d048240 f f
0 1 1 60bf 08 4a844028e4e2 00b8 0a 0a 402002229440 f f
0 1 1 d00e 08 26211a081292 414c 09 09 ac0083f092bf f f
0 1 1 005a 08 700a8c492859 d509 0a 0a 282061818289 f f
0 1 1 8531 08 2a12c22490e1 0220 09 09 081729a10348 f f
0 1 1 c380 08 30120b808501 2125 09 09 2fc34783504a f f
0 1 1 184c 08 803653163540 b183 0a 0c c0c40260884b 3 0
0 1 1 6d9c 08 3d12d12814d8 7114 0a 0a 109007042050 f f
0 1 1 62b2 08 0da60831140a 8962 09 09 207241454022 f f
0 1 1 042d 08 201901061684 78c4 0a 0a 85a548709048 f f
0 1 1 d1ee 08 2e10513124b1 022c 0a 0a 2c20482102a9 f f
0 1 1 280e 08 5498152402aa 4a9c 0a 0a 2492712136d8 f f
0 1 1 84d0 08 2db261a44204 5360 09 09 11500e04ca04 f f
0 1 1 4cc2 07 2a0bd5968511 0912 0a 0a 00180104a224 f f
0 1 1 46ee 08 241a98651650 04a0 0a 0a 2100842117c8 f f
0 1 1 874b 08 21016a24b44b baa1 09 0b 309c0a40a053 e 0
0 1 1 d409 08 2c92968e9362 0816 0a 0a 34220104a108 f f
0 1 1 25da 08 61924164b28c 77c8 09 09 0566f22585d8 f f
0 1 1 9412 07 94aa53335a98 3263 09 09 04a28c24c5c9 f f
0 1 1 02f1 08 5602da514652 2282 09 09 20d4e274464b f f
0 1 1 8315 08 4b20118d4481 b92f 09 09 20b8190a0a62 f f
0 1 1 92da 08 8922e266a65a 4680 0b 0b 4420d0301000 f f
0 1 1 40db 08 041509263252 0368 09 09 2c021c2e0602 f f
0 1 1 2145 08 8610d37920d9 d118 0a 0a 44940aac1209 f f
0 1 1 9488 08 44a041304293 477c 0a 0a 0401ca0c9262 f f
0 1 1 800a 07 93860820ce92 1238 09 09 6292195892e4 f f
0 1 1 022b 08 2d141825a4a2 2009 0a 0a a0808040320a f f
0 1 1 dbbc 07 74585a955290 c458 09 0b 2c027c28be88 8 0
0 1 1 da6c 08 30120c05a6c2 1458 0a 0a 001061289804 f f
0 1 1 0f0b 08 0296cb02148c 0114 09 0b 060562141085 0 0
0 1 1 7744 07 9f52bcbb8eee 8422 09 09 ec02a0a88008 f f
0 1 1 ca10 08 66144967ca13 0458 09 09 2904cf6413c5 f f
0 1 1 9d05 07 6698caa675e9 4c86 0a 0a 049240a10490 f f
0 1 1 04f8 08 89b1c8a52228 2240 09 09 26b1d1040418 f f
0 1 1 195a 08 20c2cd251289 8484 09 09 4002984ce240 f f
0 1 1 20a2 08 ad4788410429 35c0 09 09 089107482209 f f
0 1 1 0814 07 3ab2b860111a 058c 08 08 8e32cba172c0 f f
0 1 1 0f44 08 2282494c0281 4624 0a 0a 24104a020041 f f
0 1 1 8028 08 6e22c1224b81 802c 0a 0a 402043030241 f f
0 1 1 24c9 08 6164e26c1492 8732 0a 0a 64226200b208 f f
0 1 1 679e 08 0883914422cb 990b 09 09 e24412652e72 f f
0 1 1 e862 07 75c2aba68e66 8b92 0a 0a 2022d1c9201c f f
0 1 1 f090 08 2e304144d202 0108 09 09 1e245900030f f f
0 1 1 046d 08 05629970a502 81a6 0a 0a 20060922b050 f f
0 1 1 6000 08 05a25b240255 3419 09 09 04b943ac9416 f f
0 1 1 1321 08 014221092b24 ab4c 0a 0a 24a209a40483 f f
0 1 1 654b 08 08804d4a034b 0912 0a 0a 00124942c219 f f
0 1 1 d7ab 08 4a56a530b219 0432 0a 0b 280098b63c21 6 0
0 1 1 a7a8 08 a8806444961a 068b 0a 0a 5414c8a4340c f f
0 1 1 680d 08 2c92116916cd 0a0f 0a 0a 5c8249010252 f f
0 1 1 5328 07 bcbc67516423 4180 0a 0a 8eb081649210 f f
0 1 1 b95c 08 21b4aa892311 8008 0b 0b 409008208284 f f
0 1 1 7542 08 072291ac0815 a909 0a 0a 7602c2001401 f f
0 1 1 84ef 07 36318b8d12ce 5a08 0a 0a 059448040e01 f f
0 1 1 6a55 08 2db610aca641 8582 09 09 20b28a248e4c f f
0 1 1 9151 08 4c206226209c 4402 09 09 24d2445ce010 f f
0 1 1 029c 08 2604532416c5 cba0 09 09 b08a49310e10 f f
0 1 1 a893 08 2c8690812413 f1aa 09 09 c9980a449358 f f
0 1 1 0012 08 65124910924a 0881 0a 0a 008488405444 f f
0 1 1 60e2 07 65909cda1c24 002a 0a 0a 06000804a448 f f
0 1 1 1389 08 01c28968088b c4ee 09 09 ac048028ad89 f f
0 1 1 4df1 08 08a2c38d348a a4c1 0a 0a 81a680480411 f f
0 1 1 c208 08 2804184d1502 d402 0a 0a 44b2c0010235 f f
0 1 1 6350 08 0a024a8a1848 0804 0a 0a 041482008a48 f f
0 1 1 6640 09 24a849090440 614e 09 09 0502150a1448 f f
0 1 1 9c13 08 29c6cd282099 90a1 09 09 f01001e0c421 f f
0 1 1 f0db 07 f13ca945587f c4ba 0a 0a 68946040ba08 f f
0 1 1 83f7 07 2a390aa4f05c 5080 09 09 081813242859 f f
0 1 1 3989 08 20a489341461 0880 0a 0a 20b230410201 f f
0 1 1 9f17 07 5f35af846f21 8024 0a 0a 55120100a0d2 f f
0 1 1 0912 08 0496130c2adb 83ba 09 09 dd4551296691 f f
0 1 1 b3f1 07 42d926f14e1b 829a 09 09 2012984959ea f f
0 1 1 b86b 08 259880851259 0506 0a 0a a0024144a072 f f
0 1 1 07e0 08 2aa48b4d2711 d060 0a 0a 6c95c528a013 f f
0 1 1 00a0 08 498082452ac0 2cd0 09 09 4c8700519201 f f
0 1 1 aea0 07 98e67a48b87b 8b00 0a 0a 50190b012002 f f
0 1 1 7529 08 32a0828902c1 4123 09 09 2840e5809011 f f
0 1 1 a91b 07 e94e817e5599 02c8 0a 0a 002208648848 f f
0 1 1 9007 08 502286011453 9b14 0a 0a a912140016c0 f f
0 1 1 64c8 08 49aaa5690512 28c1 0a 0b 008239243a04 3 0
0 1 1 094a 08 8a24090c1251 0210 0a 0a 21029704d052 f f
0 1 1 4060 08 5c140a0e0449 4108 0a 0b 0410520c5e50 3 0
0 1 1 2259 08 71802449b262 e1b1 09 09 262259ed6601 f f
0 1 1 0d06 07 571cdd807965 d1af 09 09 3533435a147e f f
0 1 1 800e 08 6d4401691513 1853 0a 0a 00a24004a00c f f
0 1 1 7f76 07 64e2a6c8a07c 0308 0a 0a 64a00d200200 f f
0 1 1 4803 07 ac18a375de19 b6ed 09 09 94c489488641 f f
0 1 1 0081 08 651050402256 539f 09 09 a5200b8012b2 f f
0 1 1 9fd7 08 a8929128a4e2 443a 0a 0a 2802ec08a521 f f
0 1 1 880d 08 640680011582 c265 09 09 5900101880f7 f f
0 1 1 033f 07 0636594decd7 080b 0a 0c 2172a2030209 5 0
0 1 1 5d26 07 0b1311e1517a f476 0a 0a 64a4c0309054 f f
0 1 1 1a03 08 15a2d22418a3 7180 0a 0a 491e01280210 f f
0 1 1 151c 07 49251b45b5a8 2247 09 09 798492ed02b2 f f
0 1 1 80c1 08 60d0124590da aa47 0a 0a 611409085259 f f
0 1 1 b2b4 08 24a2fb219081 0abc 09 09 352539a1a642 f f
0 1 1 4801 08 0434d02a2043 0e02 09 09 1108882ca688 f f
0 1 1 850a 08 2916c9c22258 5ab4 09 09 3d92509cb5c2 f f
0 1 1 9905 08 605369042059 6e3c 09 09 091a7921451e f f
0 1 1 1058 08 41a00c363290 448c 0a 0a 040743409440 f f
0 1 1 f790 08 2530e12212e9 781c 0a 0a c7b620059640 f f
0 1 1 3909 08 2a14d921129a 2182 0a 0a 00a049211588 f f
0 1 1 0c4a 08 6812555c9510 6226 09 09 0e3a10819298 f f
0 1 1 8819 08 49349b251501 950b 0a 0e 301841000a8c b 0
0 1 1 1873 07 03460471d23b 68a2 0a 0b 049241790638 1 0
0 1 1 b20c 07 c49f3071c322 0201 0a 0a e811120c16c1 f f
0 1 1 cc6b 08 2424d871088c 08d5 09 09 ec5607e51769 f f
0 1 1 08ec 08 15024024f448 0382 0a 0a b48814840010 f f
0 1 1 7832 08 262b1135a6aa cc03 09 09 68b250260a8c f f
0 1 1 5e08 08 8d22d0043415 0002 09 09 62b040189227 f f
0 1 1 7723 08 2890d9458519 7027 0a 0a 31300b20930b f f
0 1 1 4c8a 08 4438a1cd829d 0625 0a 0a 65844d008c41 f f
0 1 1 451c 08 548441082529 4a74 09 09 71b6f808e0c0 f f
0 1 1 2814 08 092411a4a680 b899 09 09 a515f4501f01 f f
0 1 1 2e13 08 65831968a24b 1125 0a 0a 2010a92c8252 f f
0 1 1 ca22 08 b0a2292181d2 0ac2 09 09 2416782d83ee f f
0 1 1 a72c 07 9561a3619503 56a9 09 09 64c0f12d0451 f f
0 1 1 a99b 08 66558a815489 7240 09 0c 2596911a800a 6 0
0 1 1 1d02 07 23474dd8d711 4655 0a 0b 54008874224a e 0
0 1 1 3e5c 08 25426a30a2d2 20c8 0a 0a 051401442c49 f f
0 1 1 41de 08 2416122694b1 3a0b 0a 0a 08920bac421a f f
0 1 1 09f8 07 68056a2e763a 9551 09 09 652d5904b201 f f
0 1 1 2d39 09 20850128a20a 20c9 0a 0a 48824068c601 f f
0 1 1 114d 08 25138a24a489 c323 09 09 971449390249 f f
0 1 1 0774 08 ac39912c90d8 1446 09 09 117d106d1361 f f
0 1 1 2a82 08 04a248608a53 c009 0a 0b 2800d834a261 1 0
0 1 1 70e1 07 fa150bb11efa 01dc 09 09 3ba0cb8732c1 f f
0 1 1 a6bf 07 8ca0d735dada d283 09 09 8415133e02e4 f f
0 1 1 8304 08 685009442508 0042 0a 0a 281a010c2008 f f
0 1 1 9641 08 a03058448801 c0b4 0a 0b 48067484a252 9 0
0 1 1 0044 08 203c520c9510 707e 09 09 49b50048a458 f f
0 1 1 2370 08 0a418d049702 e10c 0a 0a a92081060488 f f
0 1 1 5427 08 19a6c9251519 9811 09 09 2324806710c9 f f
0 1 1 c346 08 4800e3059249 0492 0a 0a 0012b9209013 f f
0 1 1 0162 08 0480c145490d a860 0a 0a 2883810cb00a f f
0 1 1 0df2 08 490249a54609 8cc0 09 0b 5e5550440852 c 0
0 1 1 48bc 08 44061845966a 24a5 0a 0a 010542299052 f f
0 1 1 8011 08 21989128aa11 5c0e 09 09 509489312849 f f
0 1 1 7a0a 08 0d35886d244a 0708 0a 0a 04188d420608 f f
0 1 1 11a7 08 2814c2b9208b 001d 0a 0a 408039049f41 f f
0 1 1 7162 08 49365464a2ea 3c23 0a 0a 08a24a0110e1 f f
0 1 1 762d 08 0d20892d42ea 1189 0a 0a 286201490241 f f
0 1 1 2b64 08 6942526e00cd 5d21 09 09 06a4c911e081 f f
0 1 1 9687 08 40149a269853 d4eb 09 09 70a500720219 f f
0 1 1 1f6b 08 869312a58489 2b48 09 09 6104296508d2 f f
0 1 1 b869 08 8d22ba04a641 3708 0a 0d 41130a045600 4 0
0 1 1 0f37 08 28885245c88b 2211 0a 0b 01018b006051 a 0
0 1 1 0609 08 8286c9848521 b992 09 0b 411b9186f091 b 0
0 1 1 9081 08 2d3710582252 0aa0 0a 0a 609e182d8200 f f
0 1 1 2b0f 08 62362a2814ca 0105 0a 0a a80203018041 f f
0 1 1 634f 07 0a0725d73c95 8213 09 09 204208aa508c f f
0 1 1 0556 08 25344930b2f2 4af2 0a 0a 2d0408a49009 f f
0 1 1 84ee 08 419841459295 0102 09 09 0000c98430fa f f
0 1 1 9ba2 08 544391850ac8 c182 09 09 64422c857888 f f
0 1 1 eda0 07 d618fc61aaf9 2900 0a 0a 21c209240202 f f
0 1 1 e4cd 07 3dbbd08c4644 be50 08 0c 65974b1e3c68 6 0
0 1 1 0245 08 408208353e67 5724 0a 0a 845292e88499 f f
0 1 1 c488 08 24a0b5318cc4 6a40 0b 0b 048288040100 f f
0 1 1 a4a8 08 8090804d8a44 01a6 09 09 412c52c9133b f f
0 1 1 3b04 08 652a51140481 8007 09 09 a08200259049 f f
0 1 1 3ac1 07 209a7e557f63 8107 09 09 68930162808b f f
0 1 1 4237 08 0500594d2a92 2113 08 08 c2420415a38c f f
0 1 1 7989 08 4526c95432d1 5815 0a 0a 68ba08001489 f f
0 1 1 32c1 08 09b2caa4461a 5e0c 09 09 1058700c0b53 f f
